Timestamp dT0 sum(dT0) L0 int_weight n_AODVISstdn n_so4mass_a1 n_so4mass_a2 n_so4mass_a3 n_diamwet_a1 n_diamwet_a2 n_diamwet_a3 n_SAD_AERO 
2061 -0.07186091814668316 -2.834701138931564 0.342771024306571 1 0.342771024306571 4369697818.015736 -20042097.699285697 50699182555.98378 0.0001591909046008141 1.3821253261632845e-05 0.0013020149251191495 0.0004964329076557972 
2062 -0.2301812891682289 -3.064882428099793 0.34223821591649545 1 0.34223821591649545 4368159718.583099 -20015866.97125802 50604845955.89364 0.0001591017828265699 1.3815378087341622e-05 0.0013019327899576288 0.0004958770959305296 
2063 -0.12275051610203036 -3.187632944201823 0.3521545012067303 1 0.3521545012067303 4396495596.355778 -20500211.03400735 52365255378.62591 0.0001607442861080013 1.3924121452071942e-05 0.0013033920903895784 0.0005062405424009293 
2064 -0.07432844172666364 -3.261961385928487 0.361774361016132 1 0.361774361016132 4423416478.284209 -20962529.03010652 54082352442.709076 0.00016230602399313124 1.4028429612675741e-05 0.0013046762188696672 0.0005163320519154424 
2065 -0.13505446162065482 -3.3970158475491417 0.36663774562896 1 0.36663774562896 4436822021.326976 -21193528.950802457 54953868542.92482 0.0001630841621858691 1.4080733413551879e-05 0.001305279974277125 0.0005214477922583327 
2066 -0.020643041034077214 -3.417658888583219 0.37960849835166816 1 0.37960849835166816 4471932172.367347 -21801000.065830585 57289248316.196106 0.00016512358882636956 1.4218865891795909e-05 0.0013067539553619485 0.0005351362858358616 
2067 -0.23381526846321776 -3.6514741570464366 0.3774380865619201 1 0.3774380865619201 4466120689.530636 -21700204.496426325 56897361500.59505 0.0001647858782144503 1.4195887415422778e-05 0.001306520413998189 0.0005328412984389644 
2068 -0.23076637460451366 -3.8822405316509503 0.3814072351962756 1 0.3814072351962756 4476729547.895714 -21884280.22403409 57614358958.33595 0.00016540241098541179 1.4237868905659816e-05 0.0013069437060347563 0.0005370396128134141 
2069 -0.070433196446686 -3.9526737280976363 0.39426967277942576 1 0.39426967277942576 4510547759.578058 -22473231.49200462 59947858176.55225 0.00016736899702379633 1.4372708386142492e-05 0.001308205686415952 0.0005506851042107823 
2070 -0.059886481405328595 -4.012560209502965 0.40323339741647257 1 0.40323339741647257 4533627738.299488 -22877064.8835988 61582927211.603905 0.0001687122187570591 1.4465620460107081e-05 0.0013089941019819172 0.0005602303673364883 
2071 -0.07357264694479682 -4.086132856447762 0.4111353887621513 1 0.4111353887621513 4553655986.155638 -23228742.3574438 63030250204.03152 0.0001698785416454957 1.454683251105767e-05 0.001309632973767759 0.0005686689049167384 
2072 0.01768529498241378 -4.068447561465348 0.4245310374908589 1 0.4245310374908589 4586956512.297254 -23816015.574876886 65496220176.87894 0.00017181920846409207 1.4683068585230863e-05 0.0013106072636160449 0.0005830241801933423 
2073 -0.2848781139565517 -4.3533256754219 0.41842791294502246 1 0.41842791294502246 4571884150.968018 -23549812.505005684 64370791395.991905 0.00017094060767410682 1.462121902316292e-05 0.0013101794905554342 0.0005764761177164455 
2074 -0.20082189886329616 -4.554147574285196 0.42550371189469943 1 0.42550371189469943 4589343557.568473 -23858234.43778239 65675877617.92182 0.00017195838832839109 1.4692892227684666e-05 0.0013106730636478828 0.0005840689489553578 
2075 0.052630293954109675 -4.501517280331086 0.44441925961954 1 0.44441925961954 4634968355.391653 -24668315.458862994 69185492220.54239 0.00017462037152275926 1.4882151158302869e-05 0.0013118334753284362 0.0006044500657452299 
2076 -0.1908439808557887 -4.692361261186875 0.4426035865561388 1 0.4426035865561388 4630653014.991794 -24591440.89444017 68847318325.51138 0.0001743684491001326 1.4864128635034835e-05 0.0013117313515096257 0.0006024885324787077 
2077 0.04416406676784845 -4.648197194419026 0.4607656438543385 1 0.4607656438543385 4673233888.209682 -25352308.57352707 72242139490.96259 0.00017685555372717602 1.5043078963409075e-05 0.0013126741340079445 0.0006221580529506266 
2078 -0.023257387992714484 -4.671454582411741 0.4685718743524849 1 0.4685718743524849 4691148181.488828 -25673956.64344723 73709405458.60277 0.0001779027728479295 1.5119109240335518e-05 0.0013130296962406709 0.0006306447740859486 
2079 0.002346442127759474 -4.669108140283981 0.4796997200706735 1 0.4796997200706735 4716300977.176008 -26127108.60567083 75809284108.67938 0.0001793739928416373 1.5226605850245907e-05 0.0013134909694345763 0.0006427757413617323 
2080 0.06680523453661635 -4.602302905747365 0.4937203509203848 1 0.4937203509203848 4747375010.828328 -26689413.255940426 78468645465.96379 0.000181192931387553 1.5360613146953473e-05 0.0013140037544089782 0.0006581145244099552 
2081 0.05952150828483127 -4.542781397462534 0.5055282469125483 1 0.5055282469125483 4773034032.389717 -27155788.472877894 80719833127.65167 0.00018269604014576203 1.547227442907698e-05 0.0013143832901483688 0.000671078458700598 
2082 0.008537534530205448 -4.534243862932328 0.5146849847095026 1 0.5146849847095026 4792623334.828461 -27513092.44262347 82472694654.53674 0.00018384427544090845 1.5558136047404674e-05 0.0013146483103023926 0.000681159998889457 
2083 -0.14607100111908267 -4.680314864051411 0.5166111957752262 1 0.5166111957752262 4796710710.951126 -27587781.60514583 82842208808.31293 0.00018408393397567122 1.5576118524761845e-05 0.0013147010423581486 0.0006832838602992342 
2084 0.1611107247676955 -4.5192041392837154 0.5400686224887896 1 0.5400686224887896 4845589852.108385 -28484600.468305957 87363591244.50966 0.00018695190871812736 1.5792963435238578e-05 0.0013152680852735413 0.0007092333458809066 
2085 0.017408696257916745 -4.501795443025799 0.5468776472809757 1 0.5468776472809757 4859478443.154186 -28740648.908497285 88683318681.16058 0.00018776749084391107 1.585518547726214e-05 0.0013154093092481937 0.0007167946769500081 
2086 -0.05684321735236608 -4.558638660378165 0.5535522217092596 1 0.5535522217092596 4872967097.208436 -28989842.139915112 89980116052.3806 0.00018855987045397052 1.5915873649835038e-05 0.0013155387340427103 0.0007242190898628666 
